id,tweet_id,engagement,effective_length,polarity,subjectivity,average_engagement,common_words,common_ht_words,common_hts
167435593,1180206608309270000,12,75,0.0397,0.3675,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
167435593,1180193609523400000,123,106,0.0000,0.0000,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
167435593,1180174070614290000,18,254,0.0000,0.0000,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
167435593,1180158044845590000,238,280,-0.1500,0.1000,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
167435593,1180155703727670000,6,86,0.1429,0.4679,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
167435593,1180148925854040000,39,100,0.0000,0.0000,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
167435593,1180128244114300000,45,201,0.4250,0.6250,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
167435593,1179961143902830000,888,109,0.0000,0.0000,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
167435593,1179953029396730000,13,114,0.2857,0.5357,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
167435593,1179936278059590000,228,111,0.0000,0.0000,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
